Profile Row ID,Source Reference ID,Source Publication,Official Source,Source Sections,Integration Boundary,Threat or Failure,Required Connection,Disposition,Current Check Evidence,Planned Controls,Gap or Boundary Owner,Remaining Work or Boundary,Rationale,Limitations,Claim Boundary
SCIR-001,REF-CICD-012,"NIST SP 800-204D (Final, February 2024)",https://csrc.nist.gov/pubs/sp/800/204/d/final,3.1.1; 5.1.4,Developer identity to source revision,A stolen developer credential or unverified signing key attributes an attacker-controlled revision to a trusted developer.,Bind phishing-resistant interactive access and hardware-protected signing to the exact source revision.,implemented,PSB-SOURCE-001-END-013; PSB-SOURCE-004-SCL-007; PSB-SOURCE-004-SCL-008,,,,Endpoint signing and source-platform authentication checks jointly protect attribution at the developer-to-SCM boundary.,"Repository fixtures do not prove that a live identity provider, hardware key fleet, or branch policy enforces these settings.","This profile records section-level integration evidence and gaps. Its SCIR row IDs are repository identifiers, not NIST requirement identifiers, and no disposition is a compliance claim."
SCIR-002,REF-CICD-012,"NIST SP 800-204D (Final, February 2024)",https://csrc.nist.gov/pubs/sp/800/204/d/final,3.2.2; 5.1.1,Dependency declaration to acquired artifact,"A resolver, registry fallback, or incomplete review substitutes a different dependency graph or package byte sequence.","Bind the reviewed base/head graph, approved registry origin, frozen lockfile, and downloaded artifact digest.",implemented,PSB-DEPS-003-LOCK-001; PSB-DEPS-003-LOCK-002; PSB-DEPS-003-LOCK-003; PSB-DEPS-004-DCR-001; PSB-DEPS-004-DCR-002; PSB-DEPS-004-DCR-003,,,,The dependency review identity and lockfile artifact identity are verified as one acquisition chain rather than independent scanner results.,A correctly identified artifact can still contain malicious code; review quality and scanner coverage remain separate risks.,"This profile records section-level integration evidence and gaps. Its SCIR row IDs are repository identifiers, not NIST requirement identifiers, and no disposition is a compliance claim."
SCIR-003,REF-CICD-012,"NIST SP 800-204D (Final, February 2024)",https://csrc.nist.gov/pubs/sp/800/204/d/final,3.2.2; 5.1.1,Reviewed source revision to build invocation,"A privileged rerun, alternate checkout, or changed build definition builds bytes from a revision other than the reviewed source.","Bind trusted-run creation, checked-out revision, versioned build definition, platform, and invocation parameters.",implemented,PSB-CICD-005-PRB-003; PSB-CICD-005-PRB-005; PSB-BUILD-002-HCB-002; PSB-BUILD-002-HCB-003; PSB-BUILD-002-HCB-004,,,,Untrusted-PR separation and hosted-build invocation checks preserve the revision identity handed from SCM into the build platform.,Live provider rules and run records remain organization-owned evidence.,"This profile records section-level integration evidence and gaps. Its SCIR row IDs are repository identifiers, not NIST requirement identifiers, and no disposition is a compliance claim."
SCIR-004,REF-CICD-012,"NIST SP 800-204D (Final, February 2024)",https://csrc.nist.gov/pubs/sp/800/204/d/final,4; 5.2,Pipeline workload identity to deployment authority,"A stored cloud credential or weak federation claim lets the wrong workflow, repository, ref, or reusable workflow obtain deployment authority.","Bind exact OIDC issuer, audience, subject, repository, workflow, ref, environment, and short-lived cloud role to a separate deploy boundary.",implemented,PSB-BUILD-001-BLD-002; PSB-CICD-006-OIDC-002; PSB-CICD-006-OIDC-003; PSB-CICD-006-OIDC-005; PSB-CICD-006-OIDC-007,,,,The build/deploy separation and exact federation claims connect pipeline identity to bounded deployment authority.,The provider-neutral verifier does not prove a live cloud trust policy is installed.,"This profile records section-level integration evidence and gaps. Its SCIR row IDs are repository identifiers, not NIST requirement identifiers, and no disposition is a compliance claim."
SCIR-005,REF-CICD-012,"NIST SP 800-204D (Final, February 2024)",https://csrc.nist.gov/pubs/sp/800/204/d/final,5.1.1,Build platform identity to artifact digest and provenance,Build steps forge platform identity or provenance describes different bytes or invocation parameters.,"Generate provenance through the platform control plane and bind the artifact digest, build definition, invocation, and authenticated platform identity.",implemented,PSB-BUILD-003-PPG-001; PSB-BUILD-003-PPG-002; PSB-BUILD-003-PPG-003; PSB-BUILD-003-PPG-004,,,,Platform-generated authenticated provenance is the handoff record from a build invocation to exact output bytes.,Repository fixtures do not establish the security of a live hosted builder or its signing service.,"This profile records section-level integration evidence and gaps. Its SCIR row IDs are repository identifiers, not NIST requirement identifiers, and no disposition is a compliance claim."
SCIR-006,REF-CICD-012,"NIST SP 800-204D (Final, February 2024)",https://csrc.nist.gov/pubs/sp/800/204/d/final,5.1.2; 5.1.3,Artifact digest to published release evidence,"A release publishes missing, mutable, substituted, or signer-unbound provenance, SBOM, or signature evidence.","Bind provenance, SBOM, signing request, signature publication, and transparency receipt to one immutable artifact digest and release identity.",implemented,PSB-REL-002-RPD-001; PSB-REL-002-RPD-002; PSB-REL-003-SBM-002; PSB-REL-003-SBM-004; PSB-REL-005-ASG-001; PSB-REL-005-ASG-006,,,,Three release evidence types retain one artifact identity across generation and immutable publication.,"Live KMS, transparency service, repository, and SBOM platform evidence remains organization owned.","This profile records section-level integration evidence and gaps. Its SCIR row IDs are repository identifiers, not NIST requirement identifiers, and no disposition is a compliance claim."
SCIR-007,REF-CICD-012,"NIST SP 800-204D (Final, February 2024)",https://csrc.nist.gov/pubs/sp/800/204/d/final,5.1.2; 5.2,Published registry object to deployment admission identity,"A mutable tag, unauthorized registry operation, or admission bypass deploys bytes other than the reviewed release artifact.",Protect registry mutation and authorize deployment only for the exact trusted OCI manifest digest with matching authenticated provenance.,implemented,PSB-CONTAINER-002-REG-002; PSB-CONTAINER-002-REG-003; PSB-CONTAINER-002-REG-004; PSB-CONTAINER-001-CNT-001; PSB-CONTAINER-001-CNT-002; PSB-CONTAINER-001-CNT-009,,,,Registry protection preserves the digest that admission re-verifies before workload creation or update.,Provider-side registry and cluster admission configuration is not established by offline fixtures.,"This profile records section-level integration evidence and gaps. Its SCIR row IDs are repository identifiers, not NIST requirement identifiers, and no disposition is a compliance claim."
SCIR-008,REF-CICD-012,"NIST SP 800-204D (Final, February 2024)",https://csrc.nist.gov/pubs/sp/800/204/d/final,5.2; 5.2.1,Deployment identity to runtime impact inventory,"GitOps drift, direct control-plane changes, or incomplete inventory severs the link between a deployed workload and its release evidence.","Preserve commit, artifact digest, SBOM observation, deployment ID, enforcement decision, and drift state as separate linked identities.",implemented,PSB-IAC-001-IAC-007; PSB-IAC-001-IAC-008; PSB-IAC-001-IAC-009; PSB-REL-003-SBM-008; PSB-REL-003-SBM-009; PSB-GOV-001-INC-007,,,,Deployment and lifecycle inventory checks make the release-to-runtime handoff queryable without overwriting source or build observations.,"Live GitOps provider enforcement, cluster inventory, and deletion propagation remain external evidence.","This profile records section-level integration evidence and gaps. Its SCIR row IDs are repository identifiers, not NIST requirement identifiers, and no disposition is a compliance claim."
SCIR-009,REF-CICD-012,"NIST SP 800-204D (Final, February 2024)",https://csrc.nist.gov/pubs/sp/800/204/d/final,5.1.4,Application security results to source revision,"A source revision advances without revision-bound SAST, DAST, authorization, authentication, injection, or secret findings being evaluated.",Bind application security test results and existing dependency and secret checks to the exact reviewed revision before promotion.,planned,PSB-SOURCE-001-DEH-004; PSB-DEPS-004-DCR-001; PSB-DEPS-004-DCR-004,PSB-CODE-001; PSB-CODE-002; PSB-CODE-003; PSB-CODE-004,application-security,The application assessment source is still required before executable PSB-CODE controls can provide revision-bound evidence.,Dependency and secret checks cover only part of secure-commit evaluation; application behavior testing remains explicitly planned.,Planned IDs and partial evidence are not implementation or application-security coverage claims.,"This profile records section-level integration evidence and gaps. Its SCIR row IDs are repository identifiers, not NIST requirement identifiers, and no disposition is a compliance claim."
SCIR-010,REF-CICD-012,"NIST SP 800-204D (Final, February 2024)",https://csrc.nist.gov/pubs/sp/800/204/d/final,4; 5,CI/CD human and control-plane identity to privileged configuration change,"A compromised administrator or provider control-plane session changes branch rules, environments, runners, federated trust, or signing policy outside the reviewed pipeline.","Collect current provider-side administrator identity, phishing-resistant session, approval, policy version, and audit event for each privileged configuration change.",implemented,PSB-CICD-008-CPC-001; PSB-CICD-008-CPC-002; PSB-CICD-008-CPC-003; PSB-CICD-008-CPC-004; PSB-CICD-008-CPC-005; PSB-CICD-008-CPC-006; PSB-CICD-008-CPC-007,,,,"PSB-CICD-008 joins named administrator assurance, bounded session, exact before-after policy identity, independent approval, execution, provider audit, and emergency review across the required service inventory.","The provider-neutral E3 verifier does not prove live provider configuration, organization membership, authenticator custody, audit-backend independence, or provider control-plane integrity.","This profile records section-level integration evidence and gaps. Its SCIR row IDs are repository identifiers, not NIST requirement identifiers, and no disposition is a compliance claim."
