Flow ID,Flow,Scenario,Sequence,Technique ID,Technique,Component,Objective,Coverage Disposition,Claim Boundary
SITF-FLOW-001,Developer endpoint to poisoned production image,"An attacker compromises a developer endpoint, steals source authority, changes protected source, executes in CI, and attempts to promote a malicious image.",1,T-E001,Malicious Execution on Endpoint,endpoint,Execute attacker-controlled code on the developer endpoint.,implemented,"These are repository-owned synthetic review scenarios composed from pinned SITF technique identifiers. They are not upstream Wiz Research flows, observed incidents, or proof of complete attack-path mitigation."
SITF-FLOW-001,Developer endpoint to poisoned production image,"An attacker compromises a developer endpoint, steals source authority, changes protected source, executes in CI, and attempts to promote a malicious image.",2,T-E003,Harvest Local Secrets / Credentials from Endpoint,endpoint,Harvest locally available credentials and tokens.,implemented,"These are repository-owned synthetic review scenarios composed from pinned SITF technique identifiers. They are not upstream Wiz Research flows, observed incidents, or proof of complete attack-path mitigation."
SITF-FLOW-001,Developer endpoint to poisoned production image,"An attacker compromises a developer endpoint, steals source authority, changes protected source, executes in CI, and attempts to promote a malicious image.",3,T-V001,Abuse Credentials for VCS Access,vcs,Use stolen credentials to access the source platform.,implemented,"These are repository-owned synthetic review scenarios composed from pinned SITF technique identifiers. They are not upstream Wiz Research flows, observed incidents, or proof of complete attack-path mitigation."
SITF-FLOW-001,Developer endpoint to poisoned production image,"An attacker compromises a developer endpoint, steals source authority, changes protected source, executes in CI, and attempts to promote a malicious image.",4,T-V010,Malicious Code Modification in Repository,vcs,Modify protected source or workflow content.,implemented,"These are repository-owned synthetic review scenarios composed from pinned SITF technique identifiers. They are not upstream Wiz Research flows, observed incidents, or proof of complete attack-path mitigation."
SITF-FLOW-001,Developer endpoint to poisoned production image,"An attacker compromises a developer endpoint, steals source authority, changes protected source, executes in CI, and attempts to promote a malicious image.",5,T-C002,Malicious Execution in Workflow Context,cicd,Run malicious code in the workflow context.,implemented,"These are repository-owned synthetic review scenarios composed from pinned SITF technique identifiers. They are not upstream Wiz Research flows, observed incidents, or proof of complete attack-path mitigation."
SITF-FLOW-001,Developer endpoint to poisoned production image,"An attacker compromises a developer endpoint, steals source authority, changes protected source, executes in CI, and attempts to promote a malicious image.",6,T-C005,Secret Exfiltration from Workflow,cicd,Attempt to obtain additional workflow secrets.,implemented,"These are repository-owned synthetic review scenarios composed from pinned SITF technique identifiers. They are not upstream Wiz Research flows, observed incidents, or proof of complete attack-path mitigation."
SITF-FLOW-001,Developer endpoint to poisoned production image,"An attacker compromises a developer endpoint, steals source authority, changes protected source, executes in CI, and attempts to promote a malicious image.",7,T-R005,Publishing Malicious Container/VM Image,registry,Publish an attacker-controlled container image.,implemented,"These are repository-owned synthetic review scenarios composed from pinned SITF technique identifiers. They are not upstream Wiz Research flows, observed incidents, or proof of complete attack-path mitigation."
SITF-FLOW-001,Developer endpoint to poisoned production image,"An attacker compromises a developer endpoint, steals source authority, changes protected source, executes in CI, and attempts to promote a malicious image.",8,T-P004,Container Image Poisoning to Production,production,Move the poisoned image into production.,implemented,"These are repository-owned synthetic review scenarios composed from pinned SITF technique identifiers. They are not upstream Wiz Research flows, observed incidents, or proof of complete attack-path mitigation."
SITF-FLOW-002,Cross-fork poisoned pipeline to production network,"An attacker abuses fork object identity and pipeline promotion, poisons shared state, persists on a runner, and pivots toward production.",1,T-V012,Cross-Fork Object Reference Abuse,vcs,Confuse trusted and fork-controlled object identity.,implemented,"These are repository-owned synthetic review scenarios composed from pinned SITF technique identifiers. They are not upstream Wiz Research flows, observed incidents, or proof of complete attack-path mitigation."
SITF-FLOW-002,Cross-fork poisoned pipeline to production network,"An attacker abuses fork object identity and pipeline promotion, poisons shared state, persists on a runner, and pivots toward production.",2,T-C003,PWN Request / Poisoned Pipeline Execution,cicd,Trigger privileged behavior from an untrusted pull request.,implemented,"These are repository-owned synthetic review scenarios composed from pinned SITF technique identifiers. They are not upstream Wiz Research flows, observed incidents, or proof of complete attack-path mitigation."
SITF-FLOW-002,Cross-fork poisoned pipeline to production network,"An attacker abuses fork object identity and pipeline promotion, poisons shared state, persists on a runner, and pivots toward production.",3,T-C007,Action Cache Poisoning,cicd,Poison reusable action or build cache state.,implemented,"These are repository-owned synthetic review scenarios composed from pinned SITF technique identifiers. They are not upstream Wiz Research flows, observed incidents, or proof of complete attack-path mitigation."
SITF-FLOW-002,Cross-fork poisoned pipeline to production network,"An attacker abuses fork object identity and pipeline promotion, poisons shared state, persists on a runner, and pivots toward production.",4,T-C013,Persistence on Self-Hosted Runners,cicd,Persist on a self-hosted runner across jobs.,implemented,"These are repository-owned synthetic review scenarios composed from pinned SITF technique identifiers. They are not upstream Wiz Research flows, observed incidents, or proof of complete attack-path mitigation."
SITF-FLOW-002,Cross-fork poisoned pipeline to production network,"An attacker abuses fork object identity and pipeline promotion, poisons shared state, persists on a runner, and pivots toward production.",5,T-P003,Pivot from Self-Hosted Runner to Production Network,production,Use runner network reachability to approach production.,implemented,"These are repository-owned synthetic review scenarios composed from pinned SITF technique identifiers. They are not upstream Wiz Research flows, observed incidents, or proof of complete attack-path mitigation."
SITF-FLOW-003,Malicious package to release and deployment credentials,"An attacker introduces a deceptive package that executes during build, steals registry authority, and tries to replace a trusted production image.",1,T-R010,Typosquatting,registry,Present a typosquatted package name.,implemented,"These are repository-owned synthetic review scenarios composed from pinned SITF technique identifiers. They are not upstream Wiz Research flows, observed incidents, or proof of complete attack-path mitigation."
SITF-FLOW-003,Malicious package to release and deployment credentials,"An attacker introduces a deceptive package that executes during build, steals registry authority, and tries to replace a trusted production image.",2,T-R011,Namespace/Dependency Confusion,registry,Exploit namespace or resolver confusion.,implemented,"These are repository-owned synthetic review scenarios composed from pinned SITF technique identifiers. They are not upstream Wiz Research flows, observed incidents, or proof of complete attack-path mitigation."
SITF-FLOW-003,Malicious package to release and deployment credentials,"An attacker introduces a deceptive package that executes during build, steals registry authority, and tries to replace a trusted production image.",3,T-R012,Package Lifecycle Script Abuse,registry,Execute code through a package lifecycle script.,implemented,"These are repository-owned synthetic review scenarios composed from pinned SITF technique identifiers. They are not upstream Wiz Research flows, observed incidents, or proof of complete attack-path mitigation."
SITF-FLOW-003,Malicious package to release and deployment credentials,"An attacker introduces a deceptive package that executes during build, steals registry authority, and tries to replace a trusted production image.",4,T-C010,Runner Executing Malicious Package,cicd,Run the malicious package on a CI runner.,implemented,"These are repository-owned synthetic review scenarios composed from pinned SITF technique identifiers. They are not upstream Wiz Research flows, observed incidents, or proof of complete attack-path mitigation."
SITF-FLOW-003,Malicious package to release and deployment credentials,"An attacker introduces a deceptive package that executes during build, steals registry authority, and tries to replace a trusted production image.",5,T-C011,Stealing Registry Tokens,cicd,Steal registry publication credentials.,implemented,"These are repository-owned synthetic review scenarios composed from pinned SITF technique identifiers. They are not upstream Wiz Research flows, observed incidents, or proof of complete attack-path mitigation."
SITF-FLOW-003,Malicious package to release and deployment credentials,"An attacker introduces a deceptive package that executes during build, steals registry authority, and tries to replace a trusted production image.",6,T-R005,Publishing Malicious Container/VM Image,registry,Publish a malicious image under trusted naming.,implemented,"These are repository-owned synthetic review scenarios composed from pinned SITF technique identifiers. They are not upstream Wiz Research flows, observed incidents, or proof of complete attack-path mitigation."
SITF-FLOW-003,Malicious package to release and deployment credentials,"An attacker introduces a deceptive package that executes during build, steals registry authority, and tries to replace a trusted production image.",7,T-P004,Container Image Poisoning to Production,production,Attempt to admit the malicious image to production.,implemented,"These are repository-owned synthetic review scenarios composed from pinned SITF technique identifiers. They are not upstream Wiz Research flows, observed incidents, or proof of complete attack-path mitigation."
SITF-FLOW-004,Workflow prompt injection to malicious deployment,"Untrusted pull-request content manipulates an AI-enabled workflow into changing source, opening a pull request, and initiating a deployment.",1,T-C021,AI Agent Prompt Injection in Workflow,cicd,Inject instructions through untrusted workflow input.,implemented,"These are repository-owned synthetic review scenarios composed from pinned SITF technique identifiers. They are not upstream Wiz Research flows, observed incidents, or proof of complete attack-path mitigation."
SITF-FLOW-004,Workflow prompt injection to malicious deployment,"Untrusted pull-request content manipulates an AI-enabled workflow into changing source, opening a pull request, and initiating a deployment.",2,T-C008,Malicious Workflow Performing Code Modification,cicd,Cause the workflow to modify repository content.,implemented,"These are repository-owned synthetic review scenarios composed from pinned SITF technique identifiers. They are not upstream Wiz Research flows, observed incidents, or proof of complete attack-path mitigation."
SITF-FLOW-004,Workflow prompt injection to malicious deployment,"Untrusted pull-request content manipulates an AI-enabled workflow into changing source, opening a pull request, and initiating a deployment.",3,T-V010,Malicious Code Modification in Repository,vcs,Persist malicious code in protected source.,implemented,"These are repository-owned synthetic review scenarios composed from pinned SITF technique identifiers. They are not upstream Wiz Research flows, observed incidents, or proof of complete attack-path mitigation."
SITF-FLOW-004,Workflow prompt injection to malicious deployment,"Untrusted pull-request content manipulates an AI-enabled workflow into changing source, opening a pull request, and initiating a deployment.",4,T-C012,PR from Malicious Workflow,cicd,Create or promote a pull request from the compromised workflow.,implemented,"These are repository-owned synthetic review scenarios composed from pinned SITF technique identifiers. They are not upstream Wiz Research flows, observed incidents, or proof of complete attack-path mitigation."
SITF-FLOW-004,Workflow prompt injection to malicious deployment,"Untrusted pull-request content manipulates an AI-enabled workflow into changing source, opening a pull request, and initiating a deployment.",5,T-P002,Malicious Deployment via Compromised Pipeline,production,Attempt deployment through the compromised pipeline.,implemented,"These are repository-owned synthetic review scenarios composed from pinned SITF technique identifiers. They are not upstream Wiz Research flows, observed incidents, or proof of complete attack-path mitigation."
