Profile,Framework Version,Chapter,Section,Requirement ID,Verification Level,Requirement Area,Status,Mapped Checks,Relationships,Mapping Rationale,Official Source,Claim Boundary
owasp-aisvs-1.0,1.0,C1,C1.1,v1.0-C1.1.1,1,Training Data Integrity & Traceability / Training Data Origin & Data Security,gap,,,,https://github.com/OWASP/AISVS/blob/78775233666a2022dcfb82037e5e029116955c00/1.0/en/0x10-C01-Training-Data-Integrity-and-Traceability.md,"A mapping identifies repository reference evidence for one requirement; it does not prove live adoption, an AISVS level, AI system security, or compliance."
owasp-aisvs-1.0,1.0,C1,C1.1,v1.0-C1.1.2,2,Training Data Integrity & Traceability / Training Data Origin & Data Security,gap,,,,https://github.com/OWASP/AISVS/blob/78775233666a2022dcfb82037e5e029116955c00/1.0/en/0x10-C01-Training-Data-Integrity-and-Traceability.md,"A mapping identifies repository reference evidence for one requirement; it does not prove live adoption, an AISVS level, AI system security, or compliance."
owasp-aisvs-1.0,1.0,C1,C1.1,v1.0-C1.1.3,2,Training Data Integrity & Traceability / Training Data Origin & Data Security,gap,,,,https://github.com/OWASP/AISVS/blob/78775233666a2022dcfb82037e5e029116955c00/1.0/en/0x10-C01-Training-Data-Integrity-and-Traceability.md,"A mapping identifies repository reference evidence for one requirement; it does not prove live adoption, an AISVS level, AI system security, or compliance."
owasp-aisvs-1.0,1.0,C1,C1.1,v1.0-C1.1.4,2,Training Data Integrity & Traceability / Training Data Origin & Data Security,gap,,,,https://github.com/OWASP/AISVS/blob/78775233666a2022dcfb82037e5e029116955c00/1.0/en/0x10-C01-Training-Data-Integrity-and-Traceability.md,"A mapping identifies repository reference evidence for one requirement; it does not prove live adoption, an AISVS level, AI system security, or compliance."
owasp-aisvs-1.0,1.0,C1,C1.1,v1.0-C1.1.5,3,Training Data Integrity & Traceability / Training Data Origin & Data Security,gap,,,,https://github.com/OWASP/AISVS/blob/78775233666a2022dcfb82037e5e029116955c00/1.0/en/0x10-C01-Training-Data-Integrity-and-Traceability.md,"A mapping identifies repository reference evidence for one requirement; it does not prove live adoption, an AISVS level, AI system security, or compliance."
owasp-aisvs-1.0,1.0,C1,C1.2,v1.0-C1.2.1,1,Training Data Integrity & Traceability / Data Labeling and Annotation Security,gap,,,,https://github.com/OWASP/AISVS/blob/78775233666a2022dcfb82037e5e029116955c00/1.0/en/0x10-C01-Training-Data-Integrity-and-Traceability.md,"A mapping identifies repository reference evidence for one requirement; it does not prove live adoption, an AISVS level, AI system security, or compliance."
owasp-aisvs-1.0,1.0,C1,C1.2,v1.0-C1.2.2,2,Training Data Integrity & Traceability / Data Labeling and Annotation Security,gap,,,,https://github.com/OWASP/AISVS/blob/78775233666a2022dcfb82037e5e029116955c00/1.0/en/0x10-C01-Training-Data-Integrity-and-Traceability.md,"A mapping identifies repository reference evidence for one requirement; it does not prove live adoption, an AISVS level, AI system security, or compliance."
owasp-aisvs-1.0,1.0,C1,C1.2,v1.0-C1.2.3,2,Training Data Integrity & Traceability / Data Labeling and Annotation Security,gap,,,,https://github.com/OWASP/AISVS/blob/78775233666a2022dcfb82037e5e029116955c00/1.0/en/0x10-C01-Training-Data-Integrity-and-Traceability.md,"A mapping identifies repository reference evidence for one requirement; it does not prove live adoption, an AISVS level, AI system security, or compliance."
owasp-aisvs-1.0,1.0,C1,C1.3,v1.0-C1.3.1,2,Training Data Integrity & Traceability / Training Data Quality and Security Assurance,gap,,,,https://github.com/OWASP/AISVS/blob/78775233666a2022dcfb82037e5e029116955c00/1.0/en/0x10-C01-Training-Data-Integrity-and-Traceability.md,"A mapping identifies repository reference evidence for one requirement; it does not prove live adoption, an AISVS level, AI system security, or compliance."
owasp-aisvs-1.0,1.0,C1,C1.3,v1.0-C1.3.2,2,Training Data Integrity & Traceability / Training Data Quality and Security Assurance,gap,,,,https://github.com/OWASP/AISVS/blob/78775233666a2022dcfb82037e5e029116955c00/1.0/en/0x10-C01-Training-Data-Integrity-and-Traceability.md,"A mapping identifies repository reference evidence for one requirement; it does not prove live adoption, an AISVS level, AI system security, or compliance."
