Profile Row ID,Cumulative Minimum Level,Capability Area,Capability,Threat or Failure,Responsible Role,Required Organization Evidence,FIRST Service References,Repository Supporting Checks,Assessment Result,Evidence Freshness,Assignee,Evidence URL,Exception ID,Notes,Limitations,Source Snapshot Identity,Claim Boundary
PSIRT-B-001,1,Operational Foundations,"Executive sponsorship, scope, budget, roles, and initial response policies are documented and current.","An ad-hoc team lacks authority, resources, or policy to require consistent product vulnerability response.",executive-sponsor,approved PSIRT mandate or charter; current scope and accountable roles; budget or resource decision; vulnerability handling and disclosure policies,OF-STRATEGIC Strategic foundation; OF-TACTICAL Tactical foundation,PSB-GOV-003-VPR-006,NOT_CHECKED,NOT_CHECKED,,,,,"A document alone does not establish operating authority, staffing capacity, or consistent execution.",REF-GOV-003 mutable web document observed 2026-08-12 sha256:16d7987dfb3a9f6512f4de84732464c3ad2a18af3b52abf7b4c51d21bdc52552; REF-GOV-004 1.1 observed 2026-08-12 sha256:b543b4970d6c708bc97915cee4655c75b99252670b4824a303236c6fa2b3a34e,"This public profile is a paraphrased organization assessment template. Repository controls may supply supporting evidence but cannot establish that a PSIRT service operates, has sufficient capacity, or has reached a FIRST maturity level."
PSIRT-B-002,1,Stakeholder Ecosystem Management,"Internal teams, customers, finders, coordinators, suppliers, and downstream users have named communication routes.",A valid report or urgent remediation decision stalls because ownership and communication routes are unknown.,psirt-lead,dated stakeholder register; communication route by stakeholder class; escalation owner and review record,1.1 Internal Stakeholder Management; 1.4 Downstream Stakeholder Management; 1.5 Incident Communications Coordination,PSB-GOV-003-VPR-006,NOT_CHECKED,NOT_CHECKED,,,,,"A contact list does not prove reachability, trust, or response timeliness.",REF-GOV-003 mutable web document observed 2026-08-12 sha256:16d7987dfb3a9f6512f4de84732464c3ad2a18af3b52abf7b4c51d21bdc52552; REF-GOV-004 1.1 observed 2026-08-12 sha256:b543b4970d6c708bc97915cee4655c75b99252670b4824a303236c6fa2b3a34e,"This public profile is a paraphrased organization assessment template. Repository controls may supply supporting evidence but cannot establish that a PSIRT service operates, has sufficient capacity, or has reached a FIRST maturity level."
PSIRT-B-003,1,Vulnerability Discovery,"Public and internal vulnerability intake accepts protected reports, acknowledges receipt, and preserves reporter confidentiality.","Researchers or employees cannot report a flaw safely, or sensitive report content leaks through intake and evidence systems.",psirt-intake,published reporting channel; protected submission method; sample acknowledgement receipt; information handling and access policy,2.1 Intake of Vulnerability Reporting,PSB-GOV-003-VPR-001; PSB-GOV-003-VPR-008,NOT_CHECKED,NOT_CHECKED,,,,,"Repository case fixtures do not test a live mailbox, portal, encryption key, or responder rota.",REF-GOV-003 mutable web document observed 2026-08-12 sha256:16d7987dfb3a9f6512f4de84732464c3ad2a18af3b52abf7b4c51d21bdc52552; REF-GOV-004 1.1 observed 2026-08-12 sha256:b543b4970d6c708bc97915cee4655c75b99252670b4824a303236c6fa2b3a34e,"This public profile is a paraphrased organization assessment template. Repository controls may supply supporting evidence but cannot establish that a PSIRT service operates, has sufficient capacity, or has reached a FIRST maturity level."
PSIRT-B-004,1,Vulnerability Triage and Analysis,"Every accepted report is qualified, analyzed, scored consistently, and linked to exact affected products and supported versions.","A malformed, duplicate, mis-scoped, or incorrectly scored report drives the wrong priority or product impact decision.",vulnerability-analyst,qualification criteria; case identity and triage timestamps; reproduction or analysis record; affected product and version determination,3.1 Vulnerability Qualification; 3.3 Vulnerability Reproduction,PSB-GOV-003-VPR-001; PSB-GOV-003-VPR-002; PSB-GOV-003-VPR-003; PSB-GOV-003-VPR-005,NOT_CHECKED,NOT_CHECKED,,,,,Synthetic CVSS and impact evidence does not prove analyst expertise or reproduction quality.,REF-GOV-003 mutable web document observed 2026-08-12 sha256:16d7987dfb3a9f6512f4de84732464c3ad2a18af3b52abf7b4c51d21bdc52552; REF-GOV-004 1.1 observed 2026-08-12 sha256:b543b4970d6c708bc97915cee4655c75b99252670b4824a303236c6fa2b3a34e,"This public profile is a paraphrased organization assessment template. Repository controls may supply supporting evidence but cannot establish that a PSIRT service operates, has sufficient capacity, or has reached a FIRST maturity level."
PSIRT-B-005,1,Remediation,"A named product owner evaluates remediation, mitigation, transfer, or governed acceptance and tracks the decision to closure.","A confirmed vulnerability remains open, is silently ignored, or receives an unowned and permanent risk acceptance.",product-owner,remediation decision and owner; target date and tracking record; verification of remedy or mitigation; exact current exception when risk is accepted,4.1 Remedy Release Management Plan; 4.2 Remediation,PSB-GOV-003-VPR-005; PSB-GOV-003-VPR-006; PSB-GOV-003-VPR-007,NOT_CHECKED,NOT_CHECKED,,,,,"A case deadline does not prove remedy quality, deployment, or customer uptake.",REF-GOV-003 mutable web document observed 2026-08-12 sha256:16d7987dfb3a9f6512f4de84732464c3ad2a18af3b52abf7b4c51d21bdc52552; REF-GOV-004 1.1 observed 2026-08-12 sha256:b543b4970d6c708bc97915cee4655c75b99252670b4824a303236c6fa2b3a34e,"This public profile is a paraphrased organization assessment template. Repository controls may supply supporting evidence but cannot establish that a PSIRT service operates, has sufficient capacity, or has reached a FIRST maturity level."
PSIRT-B-006,1,Vulnerability Disclosure,Affected stakeholders receive an accurate advisory or equivalent notice with supported-product scope and remedy guidance.,"Customers remain exposed because disclosure is missing, inconsistent with affected versions, or lacks actionable remediation guidance.",psirt-communications,reviewed advisory template; approval and publication record; affected product and version scope; remedy or mitigation instructions,5.1 Notification; 5.3 Disclosure,PSB-GOV-003-VPR-006,NOT_CHECKED,NOT_CHECKED,,,,,"The profile does not assess legal sufficiency, notification reach, or customer remediation.",REF-GOV-003 mutable web document observed 2026-08-12 sha256:16d7987dfb3a9f6512f4de84732464c3ad2a18af3b52abf7b4c51d21bdc52552; REF-GOV-004 1.1 observed 2026-08-12 sha256:b543b4970d6c708bc97915cee4655c75b99252670b4824a303236c6fa2b3a34e,"This public profile is a paraphrased organization assessment template. Repository controls may supply supporting evidence but cannot establish that a PSIRT service operates, has sufficient capacity, or has reached a FIRST maturity level."
PSIRT-I-001,2,Operational Foundations,"The charter, organizational model, staffing, tooling, procedures, support lifecycle, product registry, and baseline metrics are reviewed together.","Basic case handling appears successful while unsupported products, missing dependencies, resource shortages, or procedural drift remain invisible.",psirt-lead,approved charter and organizational model; staffing and tool capacity review; product support lifecycle registry; baseline service metrics,OF-STRATEGIC Strategic foundation; OF-TACTICAL Tactical foundation; OF-OPERATIONAL Operational foundation,PSB-GOV-001-INC-001; PSB-GOV-001-INC-007,NOT_CHECKED,NOT_CHECKED,,,,,"This row checks current evidence, not whether the operating model is optimally staffed.",REF-GOV-003 mutable web document observed 2026-08-12 sha256:16d7987dfb3a9f6512f4de84732464c3ad2a18af3b52abf7b4c51d21bdc52552; REF-GOV-004 1.1 observed 2026-08-12 sha256:b543b4970d6c708bc97915cee4655c75b99252670b4824a303236c6fa2b3a34e,"This public profile is a paraphrased organization assessment template. Repository controls may supply supporting evidence but cannot establish that a PSIRT service operates, has sufficient capacity, or has reached a FIRST maturity level."
PSIRT-I-002,2,Stakeholder Ecosystem Management,Internal and downstream stakeholders participate in rehearsed incident communication and coordinated vulnerability decisions.,"A multi-team or supplier vulnerability causes contradictory decisions, premature disclosure, or missed downstream notification.",incident-coordinator,stakeholder-to-product matrix; coordination playbook; exercise or incident communication record; downstream notification ownership,1.1 Internal Stakeholder Management; 1.4 Downstream Stakeholder Management; 1.5 Incident Communications Coordination,PSB-GOV-001-INC-003; PSB-GOV-003-VPR-006,NOT_CHECKED,NOT_CHECKED,,,,,A tabletop exercise cannot prove behavior during every live multi-party incident.,REF-GOV-003 mutable web document observed 2026-08-12 sha256:16d7987dfb3a9f6512f4de84732464c3ad2a18af3b52abf7b4c51d21bdc52552; REF-GOV-004 1.1 observed 2026-08-12 sha256:b543b4970d6c708bc97915cee4655c75b99252670b4824a303236c6fa2b3a34e,"This public profile is a paraphrased organization assessment template. Repository controls may supply supporting evidence but cannot establish that a PSIRT service operates, has sufficient capacity, or has reached a FIRST maturity level."
PSIRT-I-003,2,Vulnerability Discovery,The PSIRT looks for unreported and internally found vulnerabilities and links component intelligence to its product inventory.,The program reacts only to external reports and misses vulnerabilities in embedded components or internal findings.,vulnerability-intelligence,approved intelligence sources; component inventory linkage; internal finding intake procedure; sample complete monitoring receipt,2.2 Identify Unreported Vulnerabilities; 2.3 Monitoring for Product Component Vulnerabilities; 2.4 Identifying New Vulnerabilities,PSB-GOV-001-INC-001; PSB-GOV-001-INC-006; PSB-GOV-003-VPR-004,NOT_CHECKED,NOT_CHECKED,,,,,SBOM and KEV adapters cover selected inputs and do not prove complete discovery coverage.,REF-GOV-003 mutable web document observed 2026-08-12 sha256:16d7987dfb3a9f6512f4de84732464c3ad2a18af3b52abf7b4c51d21bdc52552; REF-GOV-004 1.1 observed 2026-08-12 sha256:b543b4970d6c708bc97915cee4655c75b99252670b4824a303236c6fa2b3a34e,"This public profile is a paraphrased organization assessment template. Repository controls may supply supporting evidence but cannot establish that a PSIRT service operates, has sufficient capacity, or has reached a FIRST maturity level."
PSIRT-I-004,2,Vulnerability Triage and Analysis,A maintained reproduction environment and expert escalation path support repeatable analysis of relevant product versions.,Analysts cannot reproduce a report safely or consistently and therefore misclassify impact or delay response.,vulnerability-analyst,isolated reproduction environment inventory; supported product fixtures; analysis tool integrity record; expert escalation and SLA evidence,3.2 Established Finders; 3.3 Vulnerability Reproduction,PSB-GOV-003-VPR-002; PSB-GOV-003-VPR-003,NOT_CHECKED,NOT_CHECKED,,,,,This repository does not execute exploit content or validate a production reproduction lab.,REF-GOV-003 mutable web document observed 2026-08-12 sha256:16d7987dfb3a9f6512f4de84732464c3ad2a18af3b52abf7b4c51d21bdc52552; REF-GOV-004 1.1 observed 2026-08-12 sha256:b543b4970d6c708bc97915cee4655c75b99252670b4824a303236c6fa2b3a34e,"This public profile is a paraphrased organization assessment template. Repository controls may supply supporting evidence but cannot establish that a PSIRT service operates, has sufficient capacity, or has reached a FIRST maturity level."
