Control ID,Check ID,Domain,Control Title,Control Path,Control Summary,Check Title,Security Functions,Threat Scenarios,Threat Actor or Source,Row Attack or Failure Scenario,Why This Check Is Required,Secure Examples,Required State,Responsible Role,Applies To,Verification Type,Verification Method,Expected Result,Required Evidence,Assessment Command,Assessment Platforms,SLSA Track,SLSA Requirement Levels,SLSA Minimum Level,SLSA Responsibility,SLSA Build L2 Scope,Framework Mappings,Mapping Status,Limitations,Implementation Status,Assessment Result,Evidence URL,Assignee,Due Date,Exception ID,Notes
PSB-IAC-001,PSB-IAC-001-IAC-001,container-cloud-iac-security,Provide a secure IaC golden path with policy enforcement,controls/container-cloud-iac-security/secure-iac-golden-path/README.md,Combine versioned secure-by-default infrastructure modules resolved-plan policy gates provider enforcement and drift control.,Approved IaC modules are versioned and integrity bound,prevent; detect; verify; govern,IAC-INSECURE-DIRECT-RESOURCE: A developer bypasses the approved module and creates unencrypted publicly reachable or over-privileged infrastructure.; IAC-PLAN-GATE-BYPASS: Source scanning warning mode unknown values or scanner failure permits a dangerous resolved plan to deploy.; IAC-PROVISIONING-PATH-BYPASS: Console API or alternate provisioning paths bypass the CI policy decision.; IAC-RUNTIME-DRIFT: Deployed infrastructure drifts from the approved IaC revision or unsafe remediation damages availability and evidence.,compromised module publisher mutable source reference or developer selecting an unreviewed module,module code changes without application review or one cloud provider profile lacks the approved baseline,version and integrity binding make the platform-owned security component reviewable while a complete catalog avoids provider-specific gaps,controls/container-cloud-iac-security/secure-iac-golden-path/secure/golden-path-policy.json; controls/container-cloud-iac-security/secure-iac-golden-path/secure/tfplan.json,approved registry source exact version digest and complete provider profiles,ci-platform,iac-module-registry; infrastructure-source,automated,make verify-control CONTROL=PSB-IAC-001,mutable unverified or incomplete module metadata is rejected,sanitized verifier output; module release review,,,,,,,,"nist-ssdf 1.1 (SP 800-218, 2022) / PW.6.1 / supports / medium; openssf-osps-baseline 2026.02.19 / OSPS-QA-04.02 / supports / medium",reviewed,Fixtures model a sanitized Terraform plan contract and do not execute Terraform or authenticate to a cloud provider.; Resolved plans can contain unknown or sensitive values and policy must block or require explicit review when required facts are unavailable.; AWS GCP and Azure examples are minimum common outcomes and do not replace provider-specific threat models modules tests or organization controls.; A hardened or CIS-labeled image still requires immutable identity update ownership vulnerability management and runtime hardening evidence.; CloudFormation Hooks and similar controls may cover only selected provisioning paths resource types operations accounts and regions.; Drift detection cannot prove continuous compliance when the scanner lacks permission coverage or availability.; Automatic remediation can cause outages or destroy evidence and is restricted to reviewed reversible actions.; Planned Trivy SCA SBOM provenance distribution signing and OIDC profiles remain gaps until their dedicated controls are implemented and verified.; Framework mappings are supporting relationships and do not establish cloud security certification or compliance.,,,,,,,
PSB-IAC-001,PSB-IAC-001-IAC-002,container-cloud-iac-security,Provide a secure IaC golden path with policy enforcement,controls/container-cloud-iac-security/secure-iac-golden-path/README.md,Combine versioned secure-by-default infrastructure modules resolved-plan policy gates provider enforcement and drift control.,Compute modules enforce secure multi-cloud defaults,prevent; detect; verify; govern,IAC-INSECURE-DIRECT-RESOURCE: A developer bypasses the approved module and creates unencrypted publicly reachable or over-privileged infrastructure.; IAC-PLAN-GATE-BYPASS: Source scanning warning mode unknown values or scanner failure permits a dangerous resolved plan to deploy.; IAC-PROVISIONING-PATH-BYPASS: Console API or alternate provisioning paths bypass the CI policy decision.; IAC-RUNTIME-DRIFT: Deployed infrastructure drifts from the approved IaC revision or unsafe remediation damages availability and evidence.,developer mistake direct resource author or attacker weakening exposed compute configuration,a plan creates unencrypted public untagged or mutable-image compute outside the approved module,secure module defaults remove repeated application-team configuration while plan validation proves the expanded resource retains the baseline,controls/container-cloud-iac-security/secure-iac-golden-path/secure/golden-path-policy.json; controls/container-cloud-iac-security/secure-iac-golden-path/secure/tfplan.json,encrypted private no-public-IP compute with approved image tags and region for AWS GCP and Azure,ci-platform,iac-module; terraform-plan,automated,evaluate secure and insecure Terraform plan JSON fixtures with make verify-control CONTROL=PSB-IAC-001,every provider profile uses the approved module encryption private network no public IP digest image tags and region,sanitized plan verifier output,,,,,,,,"nist-ssdf 1.1 (SP 800-218, 2022) / PW.6.1 / supports / medium; openssf-osps-baseline 2026.02.19 / OSPS-QA-03.01 / supports / high",reviewed,Fixtures model a sanitized Terraform plan contract and do not execute Terraform or authenticate to a cloud provider.; Resolved plans can contain unknown or sensitive values and policy must block or require explicit review when required facts are unavailable.; AWS GCP and Azure examples are minimum common outcomes and do not replace provider-specific threat models modules tests or organization controls.; A hardened or CIS-labeled image still requires immutable identity update ownership vulnerability management and runtime hardening evidence.; CloudFormation Hooks and similar controls may cover only selected provisioning paths resource types operations accounts and regions.; Drift detection cannot prove continuous compliance when the scanner lacks permission coverage or availability.; Automatic remediation can cause outages or destroy evidence and is restricted to reviewed reversible actions.; Planned Trivy SCA SBOM provenance distribution signing and OIDC profiles remain gaps until their dedicated controls are implemented and verified.; Framework mappings are supporting relationships and do not establish cloud security certification or compliance.,,,,,,,
PSB-IAC-001,PSB-IAC-001-IAC-003,container-cloud-iac-security,Provide a secure IaC golden path with policy enforcement,controls/container-cloud-iac-security/secure-iac-golden-path/README.md,Combine versioned secure-by-default infrastructure modules resolved-plan policy gates provider enforcement and drift control.,Compute administration is private and least privileged,prevent; detect; verify; govern,IAC-INSECURE-DIRECT-RESOURCE: A developer bypasses the approved module and creates unencrypted publicly reachable or over-privileged infrastructure.; IAC-PLAN-GATE-BYPASS: Source scanning warning mode unknown values or scanner failure permits a dangerous resolved plan to deploy.; IAC-PROVISIONING-PATH-BYPASS: Console API or alternate provisioning paths bypass the CI policy decision.; IAC-RUNTIME-DRIFT: Deployed infrastructure drifts from the approved IaC revision or unsafe remediation damages availability and evidence.,internet attacker stolen administrator credential or developer adding convenience access,direct SSH public administration or wildcard IAM grants broad control of provisioned compute,provider-managed private administration and explicit privilege reduce the attack surface left even when disks and networks are otherwise hardened,controls/container-cloud-iac-security/secure-iac-golden-path/secure/golden-path-policy.json; controls/container-cloud-iac-security/secure-iac-golden-path/secure/tfplan.json,approved provider administration path with no wildcard IAM,ci-platform,terraform-plan; cloud-identity,automated,make verify-control CONTROL=PSB-IAC-001,internet administration and wildcard identity grants are rejected,sanitized plan verifier output,,,,,,,,"nist-ssdf 1.1 (SP 800-218, 2022) / PW.6.1 / supports / medium; openssf-osps-baseline 2026.02.19 / OSPS-QA-03.01 / supports / high",reviewed,Fixtures model a sanitized Terraform plan contract and do not execute Terraform or authenticate to a cloud provider.; Resolved plans can contain unknown or sensitive values and policy must block or require explicit review when required facts are unavailable.; AWS GCP and Azure examples are minimum common outcomes and do not replace provider-specific threat models modules tests or organization controls.; A hardened or CIS-labeled image still requires immutable identity update ownership vulnerability management and runtime hardening evidence.; CloudFormation Hooks and similar controls may cover only selected provisioning paths resource types operations accounts and regions.; Drift detection cannot prove continuous compliance when the scanner lacks permission coverage or availability.; Automatic remediation can cause outages or destroy evidence and is restricted to reviewed reversible actions.; Planned Trivy SCA SBOM provenance distribution signing and OIDC profiles remain gaps until their dedicated controls are implemented and verified.; Framework mappings are supporting relationships and do not establish cloud security certification or compliance.,,,,,,,
PSB-IAC-001,PSB-IAC-001-IAC-004,container-cloud-iac-security,Provide a secure IaC golden path with policy enforcement,controls/container-cloud-iac-security/secure-iac-golden-path/README.md,Combine versioned secure-by-default infrastructure modules resolved-plan policy gates provider enforcement and drift control.,PaC evaluates the resolved Terraform plan,prevent; detect; verify; govern,IAC-INSECURE-DIRECT-RESOURCE: A developer bypasses the approved module and creates unencrypted publicly reachable or over-privileged infrastructure.; IAC-PLAN-GATE-BYPASS: Source scanning warning mode unknown values or scanner failure permits a dangerous resolved plan to deploy.; IAC-PROVISIONING-PATH-BYPASS: Console API or alternate provisioning paths bypass the CI policy decision.; IAC-RUNTIME-DRIFT: Deployed infrastructure drifts from the approved IaC revision or unsafe remediation damages availability and evidence.,nested module dynamic configuration or contributor hiding unsafe values behind source abstractions,source-text scanning passes while module expansion produces an unsafe resource in the executable plan,resolved-plan evaluation checks the infrastructure Terraform intends to change rather than assuming module source and inputs fully describe the outcome,controls/container-cloud-iac-security/secure-iac-golden-path/secure/golden-path-policy.json; controls/container-cloud-iac-security/secure-iac-golden-path/secure/tfplan.json,deny decision over terraform show JSON with the complete reviewed rule set,ci-platform,terraform-plan; ci-quality-gate,automated,make verify-control CONTROL=PSB-IAC-001,source-only warning-only or incomplete decision configuration is rejected,sanitized decision output; reviewed policy test,,,,,,,,"github-security-guidance github/docs@b17436de8f10c3e7f6a185d6813bf94bc82d22f8 (2026-07-24) / GHSC-SECURE-BUILDS / supports / medium; nist-ssdf 1.1 (SP 800-218, 2022) / PW.6.1 / supports / medium; openssf-osps-baseline 2026.02.19 / OSPS-QA-03.01 / supports / high",reviewed,Fixtures model a sanitized Terraform plan contract and do not execute Terraform or authenticate to a cloud provider.; Resolved plans can contain unknown or sensitive values and policy must block or require explicit review when required facts are unavailable.; AWS GCP and Azure examples are minimum common outcomes and do not replace provider-specific threat models modules tests or organization controls.; A hardened or CIS-labeled image still requires immutable identity update ownership vulnerability management and runtime hardening evidence.; CloudFormation Hooks and similar controls may cover only selected provisioning paths resource types operations accounts and regions.; Drift detection cannot prove continuous compliance when the scanner lacks permission coverage or availability.; Automatic remediation can cause outages or destroy evidence and is restricted to reviewed reversible actions.; Planned Trivy SCA SBOM provenance distribution signing and OIDC profiles remain gaps until their dedicated controls are implemented and verified.; Framework mappings are supporting relationships and do not establish cloud security certification or compliance.,,,,,,,
PSB-IAC-001,PSB-IAC-001-IAC-005,container-cloud-iac-security,Provide a secure IaC golden path with policy enforcement,controls/container-cloud-iac-security/secure-iac-golden-path/README.md,Combine versioned secure-by-default infrastructure modules resolved-plan policy gates provider enforcement and drift control.,PaC findings unknowns and execution errors fail closed,prevent; detect; verify; govern,IAC-INSECURE-DIRECT-RESOURCE: A developer bypasses the approved module and creates unencrypted publicly reachable or over-privileged infrastructure.; IAC-PLAN-GATE-BYPASS: Source scanning warning mode unknown values or scanner failure permits a dangerous resolved plan to deploy.; IAC-PROVISIONING-PATH-BYPASS: Console API or alternate provisioning paths bypass the CI policy decision.; IAC-RUNTIME-DRIFT: Deployed infrastructure drifts from the approved IaC revision or unsafe remediation damages availability and evidence.,contributor exploiting fail-open behavior or policy engine dependency and input failure,a denied unknown unevaluated or failed plan continues to deployment as if no finding existed,decision-state separation prevents availability problems in the guardrail from silently removing the guardrail,controls/container-cloud-iac-security/secure-iac-golden-path/secure/golden-path-policy.json; controls/container-cloud-iac-security/secure-iac-golden-path/secure/tfplan.json,finding blocks unknown values require block or review and tool failure is ERROR,ci-platform,ci-quality-gate; policy-engine,automated,run positive negative and malformed fixtures with make verify-control CONTROL=PSB-IAC-001,insecure plan exits 1 malformed input exits 2 and neither is clean,negative-test output; error-state output,,,,,,,,"github-security-guidance github/docs@b17436de8f10c3e7f6a185d6813bf94bc82d22f8 (2026-07-24) / GHSC-SECURE-BUILDS / supports / medium; nist-ssdf 1.1 (SP 800-218, 2022) / PW.6.1 / supports / medium; openssf-osps-baseline 2026.02.19 / OSPS-QA-03.01 / supports / high",reviewed,Fixtures model a sanitized Terraform plan contract and do not execute Terraform or authenticate to a cloud provider.; Resolved plans can contain unknown or sensitive values and policy must block or require explicit review when required facts are unavailable.; AWS GCP and Azure examples are minimum common outcomes and do not replace provider-specific threat models modules tests or organization controls.; A hardened or CIS-labeled image still requires immutable identity update ownership vulnerability management and runtime hardening evidence.; CloudFormation Hooks and similar controls may cover only selected provisioning paths resource types operations accounts and regions.; Drift detection cannot prove continuous compliance when the scanner lacks permission coverage or availability.; Automatic remediation can cause outages or destroy evidence and is restricted to reviewed reversible actions.; Planned Trivy SCA SBOM provenance distribution signing and OIDC profiles remain gaps until their dedicated controls are implemented and verified.; Framework mappings are supporting relationships and do not establish cloud security certification or compliance.,,,,,,,
PSB-IAC-001,PSB-IAC-001-IAC-006,container-cloud-iac-security,Provide a secure IaC golden path with policy enforcement,controls/container-cloud-iac-security/secure-iac-golden-path/README.md,Combine versioned secure-by-default infrastructure modules resolved-plan policy gates provider enforcement and drift control.,Reusable CI composes implemented security controls,prevent; detect; verify; govern,IAC-INSECURE-DIRECT-RESOURCE: A developer bypasses the approved module and creates unencrypted publicly reachable or over-privileged infrastructure.; IAC-PLAN-GATE-BYPASS: Source scanning warning mode unknown values or scanner failure permits a dangerous resolved plan to deploy.; IAC-PROVISIONING-PATH-BYPASS: Console API or alternate provisioning paths bypass the CI policy decision.; IAC-RUNTIME-DRIFT: Deployed infrastructure drifts from the approved IaC revision or unsafe remediation damages availability and evidence.,template maintainer introducing drift or application team copying and weakening security jobs,repositories run divergent mutable or over-privileged pipelines and claim planned scanners SBOM or signing as active,central immutable composition reduces adoption effort while explicit capability status prevents documentation from overstating actual enforcement,controls/container-cloud-iac-security/secure-iac-golden-path/secure/golden-path-policy.json; controls/container-cloud-iac-security/secure-iac-golden-path/secure/tfplan.json,immutable reusable workflow with explicit minimum permissions and separate implemented and planned capabilities,ci-platform,reusable-ci-workflow; ci-quality-gate,hybrid,verify composition metadata then verify each referenced implemented control independently,required implemented controls are present planned controls stay marked planned and reusable workflow policy is immutable and least privileged,sanitized composition verifier output; referenced control verifier outputs,,,,,,,,"github-security-guidance github/docs@b17436de8f10c3e7f6a185d6813bf94bc82d22f8 (2026-07-24) / GHSC-SECURE-BUILDS / supports / medium; nist-ssdf 1.1 (SP 800-218, 2022) / PW.6.1 / supports / medium; openssf-osps-baseline 2026.02.19 / OSPS-AC-04.01 / supports / high; openssf-osps-baseline 2026.02.19 / OSPS-QA-04.02 / supports / medium",reviewed,Fixtures model a sanitized Terraform plan contract and do not execute Terraform or authenticate to a cloud provider.; Resolved plans can contain unknown or sensitive values and policy must block or require explicit review when required facts are unavailable.; AWS GCP and Azure examples are minimum common outcomes and do not replace provider-specific threat models modules tests or organization controls.; A hardened or CIS-labeled image still requires immutable identity update ownership vulnerability management and runtime hardening evidence.; CloudFormation Hooks and similar controls may cover only selected provisioning paths resource types operations accounts and regions.; Drift detection cannot prove continuous compliance when the scanner lacks permission coverage or availability.; Automatic remediation can cause outages or destroy evidence and is restricted to reviewed reversible actions.; Planned Trivy SCA SBOM provenance distribution signing and OIDC profiles remain gaps until their dedicated controls are implemented and verified.; Framework mappings are supporting relationships and do not establish cloud security certification or compliance.,,,,,,,
PSB-IAC-001,PSB-IAC-001-IAC-007,container-cloud-iac-security,Provide a secure IaC golden path with policy enforcement,controls/container-cloud-iac-security/secure-iac-golden-path/README.md,Combine versioned secure-by-default infrastructure modules resolved-plan policy gates provider enforcement and drift control.,Deployment identity is short lived and job scoped,prevent; detect; verify; govern,IAC-INSECURE-DIRECT-RESOURCE: A developer bypasses the approved module and creates unencrypted publicly reachable or over-privileged infrastructure.; IAC-PLAN-GATE-BYPASS: Source scanning warning mode unknown values or scanner failure permits a dangerous resolved plan to deploy.; IAC-PROVISIONING-PATH-BYPASS: Console API or alternate provisioning paths bypass the CI policy decision.; IAC-RUNTIME-DRIFT: Deployed infrastructure drifts from the approved IaC revision or unsafe remediation damages availability and evidence.,malicious build step untrusted pull request or attacker stealing a stored cloud access key,non-deploy code obtains durable broad cloud credentials or exchanges an OIDC token against an overly broad trust policy,job isolation exact audience and short lifetime constrain credential availability beyond merely enabling id-token write,controls/container-cloud-iac-security/secure-iac-golden-path/secure/golden-path-policy.json; controls/container-cloud-iac-security/secure-iac-golden-path/secure/tfplan.json,deploy-only OIDC with exact audience maximum 15-minute lifetime and no stored cloud key,ci-platform,deploy-job; cloud-identity,hybrid,make verify-control CONTROL=PSB-IAC-001 and inspect cloud trust policy,static keys wildcard audience long sessions and non-deploy credential access are rejected,sanitized verifier output; cloud trust policy,,,,,,,,"github-security-guidance github/docs@b17436de8f10c3e7f6a185d6813bf94bc82d22f8 (2026-07-24) / GHSC-SECURE-BUILDS / supports / medium; nist-ssdf 1.1 (SP 800-218, 2022) / PW.6.1 / supports / medium; openssf-osps-baseline 2026.02.19 / OSPS-AC-04.01 / supports / high",reviewed,Fixtures model a sanitized Terraform plan contract and do not execute Terraform or authenticate to a cloud provider.; Resolved plans can contain unknown or sensitive values and policy must block or require explicit review when required facts are unavailable.; AWS GCP and Azure examples are minimum common outcomes and do not replace provider-specific threat models modules tests or organization controls.; A hardened or CIS-labeled image still requires immutable identity update ownership vulnerability management and runtime hardening evidence.; CloudFormation Hooks and similar controls may cover only selected provisioning paths resource types operations accounts and regions.; Drift detection cannot prove continuous compliance when the scanner lacks permission coverage or availability.; Automatic remediation can cause outages or destroy evidence and is restricted to reviewed reversible actions.; Planned Trivy SCA SBOM provenance distribution signing and OIDC profiles remain gaps until their dedicated controls are implemented and verified.; Framework mappings are supporting relationships and do not establish cloud security certification or compliance.,,,,,,,
PSB-IAC-001,PSB-IAC-001-IAC-008,container-cloud-iac-security,Provide a secure IaC golden path with policy enforcement,controls/container-cloud-iac-security/secure-iac-golden-path/README.md,Combine versioned secure-by-default infrastructure modules resolved-plan policy gates provider enforcement and drift control.,Provider enforcement covers CI bypass paths,prevent; detect; verify; govern,IAC-INSECURE-DIRECT-RESOURCE: A developer bypasses the approved module and creates unencrypted publicly reachable or over-privileged infrastructure.; IAC-PLAN-GATE-BYPASS: Source scanning warning mode unknown values or scanner failure permits a dangerous resolved plan to deploy.; IAC-PROVISIONING-PATH-BYPASS: Console API or alternate provisioning paths bypass the CI policy decision.; IAC-RUNTIME-DRIFT: Deployed infrastructure drifts from the approved IaC revision or unsafe remediation damages availability and evidence.,privileged user alternate automation or attacker changing infrastructure outside the approved pipeline,console API SDK or another IaC tool creates or updates a resource without the CI plan decision,provider-side enforcement closes mutation paths outside repository automation that a reusable workflow cannot observe,controls/container-cloud-iac-security/secure-iac-golden-path/secure/golden-path-policy.json; controls/container-cloud-iac-security/secure-iac-golden-path/secure/tfplan.json,versioned fail-mode policy on create and update across every provisioning path,ci-platform,cloud-control-plane; policy-engine,external-evidence,inspect provider policy scope and execute sanitized create and update bypass tests,every in-scope provisioning path receives a blocking policy decision,provider enforcement configuration; sanitized bypass negative test,,,,,,,,"nist-ssdf 1.1 (SP 800-218, 2022) / PW.6.1 / supports / medium; openssf-osps-baseline 2026.02.19 / OSPS-QA-03.01 / supports / high; openssf-osps-baseline 2026.02.19 / OSPS-QA-04.02 / supports / medium",reviewed,Fixtures model a sanitized Terraform plan contract and do not execute Terraform or authenticate to a cloud provider.; Resolved plans can contain unknown or sensitive values and policy must block or require explicit review when required facts are unavailable.; AWS GCP and Azure examples are minimum common outcomes and do not replace provider-specific threat models modules tests or organization controls.; A hardened or CIS-labeled image still requires immutable identity update ownership vulnerability management and runtime hardening evidence.; CloudFormation Hooks and similar controls may cover only selected provisioning paths resource types operations accounts and regions.; Drift detection cannot prove continuous compliance when the scanner lacks permission coverage or availability.; Automatic remediation can cause outages or destroy evidence and is restricted to reviewed reversible actions.; Planned Trivy SCA SBOM provenance distribution signing and OIDC profiles remain gaps until their dedicated controls are implemented and verified.; Framework mappings are supporting relationships and do not establish cloud security certification or compliance.,,,,,,,
PSB-IAC-001,PSB-IAC-001-IAC-009,container-cloud-iac-security,Provide a secure IaC golden path with policy enforcement,controls/container-cloud-iac-security/secure-iac-golden-path/README.md,Combine versioned secure-by-default infrastructure modules resolved-plan policy gates provider enforcement and drift control.,Runtime state is checked continuously for drift,prevent; detect; verify; govern,IAC-INSECURE-DIRECT-RESOURCE: A developer bypasses the approved module and creates unencrypted publicly reachable or over-privileged infrastructure.; IAC-PLAN-GATE-BYPASS: Source scanning warning mode unknown values or scanner failure permits a dangerous resolved plan to deploy.; IAC-PROVISIONING-PATH-BYPASS: Console API or alternate provisioning paths bypass the CI policy decision.; IAC-RUNTIME-DRIFT: Deployed infrastructure drifts from the approved IaC revision or unsafe remediation damages availability and evidence.,console operator compromised cloud identity or failed reconciliation changing deployed resources,public access missing encryption weakened identity or other drift persists after an initially compliant deployment,recurring desired-state comparison covers post-deploy mutation while explicit error state prevents monitoring outages from appearing compliant,controls/container-cloud-iac-security/secure-iac-golden-path/secure/golden-path-policy.json; controls/container-cloud-iac-security/secure-iac-golden-path/secure/tfplan.json,compare runtime state to an approved IaC revision within 24 hours and report unresolved scans as ERROR,ci-platform,cloud-runtime-state; drift-monitor,hybrid,verify drift policy metadata and inject a sanitized runtime drift fixture in the production adapter,drift is detected within the objective and scanner failure is not clean,sanitized drift report; monitoring health evidence,,,,,,,,"nist-ssdf 1.1 (SP 800-218, 2022) / PW.6.1 / supports / medium; openssf-osps-baseline 2026.02.19 / OSPS-QA-04.02 / supports / medium",reviewed,Fixtures model a sanitized Terraform plan contract and do not execute Terraform or authenticate to a cloud provider.; Resolved plans can contain unknown or sensitive values and policy must block or require explicit review when required facts are unavailable.; AWS GCP and Azure examples are minimum common outcomes and do not replace provider-specific threat models modules tests or organization controls.; A hardened or CIS-labeled image still requires immutable identity update ownership vulnerability management and runtime hardening evidence.; CloudFormation Hooks and similar controls may cover only selected provisioning paths resource types operations accounts and regions.; Drift detection cannot prove continuous compliance when the scanner lacks permission coverage or availability.; Automatic remediation can cause outages or destroy evidence and is restricted to reviewed reversible actions.; Planned Trivy SCA SBOM provenance distribution signing and OIDC profiles remain gaps until their dedicated controls are implemented and verified.; Framework mappings are supporting relationships and do not establish cloud security certification or compliance.,,,,,,,
PSB-IAC-001,PSB-IAC-001-IAC-010,container-cloud-iac-security,Provide a secure IaC golden path with policy enforcement,controls/container-cloud-iac-security/secure-iac-golden-path/README.md,Combine versioned secure-by-default infrastructure modules resolved-plan policy gates provider enforcement and drift control.,Automatic remediation is bounded and safe,prevent; detect; verify; govern,IAC-INSECURE-DIRECT-RESOURCE: A developer bypasses the approved module and creates unencrypted publicly reachable or over-privileged infrastructure.; IAC-PLAN-GATE-BYPASS: Source scanning warning mode unknown values or scanner failure permits a dangerous resolved plan to deploy.; IAC-PROVISIONING-PATH-BYPASS: Console API or alternate provisioning paths bypass the CI policy decision.; IAC-RUNTIME-DRIFT: Deployed infrastructure drifts from the approved IaC revision or unsafe remediation damages availability and evidence.,faulty policy compromised automation or operator enabling overly broad corrective action,drift automation deletes isolates or rekeys production resources causing outage or destroying investigation evidence,an explicit safe-action allowlist preserves rapid correction without granting an unattended policy engine unlimited destructive authority,controls/container-cloud-iac-security/secure-iac-golden-path/secure/golden-path-policy.json; controls/container-cloud-iac-security/secure-iac-golden-path/secure/tfplan.json,only reviewed reversible actions auto-run and destructive changes require approval,ci-platform,corrective-control; cloud-runtime-state,hybrid,make verify-control CONTROL=PSB-IAC-001 and review corrective-control negative tests,unlisted or destructive remediation requires impact review and approval,sanitized policy verifier output; corrective action test,,,,,,,,"nist-ssdf 1.1 (SP 800-218, 2022) / PW.6.1 / supports / medium; openssf-osps-baseline 2026.02.19 / OSPS-QA-04.02 / supports / medium",reviewed,Fixtures model a sanitized Terraform plan contract and do not execute Terraform or authenticate to a cloud provider.; Resolved plans can contain unknown or sensitive values and policy must block or require explicit review when required facts are unavailable.; AWS GCP and Azure examples are minimum common outcomes and do not replace provider-specific threat models modules tests or organization controls.; A hardened or CIS-labeled image still requires immutable identity update ownership vulnerability management and runtime hardening evidence.; CloudFormation Hooks and similar controls may cover only selected provisioning paths resource types operations accounts and regions.; Drift detection cannot prove continuous compliance when the scanner lacks permission coverage or availability.; Automatic remediation can cause outages or destroy evidence and is restricted to reviewed reversible actions.; Planned Trivy SCA SBOM provenance distribution signing and OIDC profiles remain gaps until their dedicated controls are implemented and verified.; Framework mappings are supporting relationships and do not establish cloud security certification or compliance.,,,,,,,
