Technique ID,Technique,Component,Stage,Disposition,Exact or Supporting Checks,Planned Controls,Gap or Boundary Owner,Remaining Work or Boundary,Rationale,Component Limitation,Source Version,Official Source,Claim Boundary
T-E001,Malicious Execution on Endpoint,endpoint,Initial Access,implemented,PSB-SOURCE-001-END-011; PSB-SOURCE-001-END-012; PSB-DEPS-002-INS-001,,endpoint-security,,"Application approval, endpoint detection, and default-deny dependency script execution directly reduce unreviewed code execution on a developer endpoint.","Repository fixtures do not prove live endpoint fleet enrollment, telemetry health, phishing resistance, network enforcement, or incident recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-E002,Endpoint Phishing,endpoint,Initial Access,gap,PSB-SOURCE-001-END-012; PSB-SOURCE-004-SCL-007,,endpoint-security,"Verify mail and browser phishing controls, endpoint-originated token binding, alert delivery, and incident response with live evidence.","EDR and phishing-resistant source authentication are supporting layers, but the repository does not directly verify endpoint phishing prevention and detection.","Repository fixtures do not prove live endpoint fleet enrollment, telemetry health, phishing resistance, network enforcement, or incident recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-E003,Harvest Local Secrets / Credentials from Endpoint,endpoint,Discovery and Lateral Movement,implemented,PSB-SOURCE-001-END-005; PSB-SOURCE-001-DEH-002; PSB-SOURCE-004-SCL-006,,endpoint-security,,Secret-free workspaces and approved protected credential stores directly constrain local credential harvesting.,"Repository fixtures do not prove live endpoint fleet enrollment, telemetry health, phishing resistance, network enforcement, or incident recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-E004,Harvest Local Data from Endpoint,endpoint,Post-Compromise,gap,PSB-SOURCE-001-END-009; PSB-SOURCE-001-DEH-010,,endpoint-security,"Add endpoint data classification, bulk-access detection, destination-aware DLP, and tested containment for local source and customer data.",Read-only shared workspaces and sensitive-file detection reduce exposure but do not prevent an already-compromised endpoint from harvesting local data.,"Repository fixtures do not prove live endpoint fleet enrollment, telemetry health, phishing resistance, network enforcement, or incident recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-E005,Cryptomining on Endpoints,endpoint,Post-Compromise,gap,PSB-SOURCE-001-END-012,,endpoint-security,"Verify endpoint CPU, GPU, process, and energy anomaly detection plus automated containment without relying only on generic EDR enrollment.",EDR enrollment is relevant but no exact cryptomining detection or endpoint resource-abuse assertion exists.,"Repository fixtures do not prove live endpoint fleet enrollment, telemetry health, phishing resistance, network enforcement, or incident recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-E006,Register Local Machine as CI Runner,endpoint,Discovery and Lateral Movement,gap,PSB-SOURCE-001-END-006; PSB-CICD-007-RNR-006,,endpoint-security,Deny and detect runner registration from developer endpoints and correlate registration authority to an approved ephemeral runner inventory.,"Socket exposure and runner registration authority are bounded separately, but no check proves that a workstation cannot be enrolled as a runner.","Repository fixtures do not prove live endpoint fleet enrollment, telemetry health, phishing resistance, network enforcement, or incident recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-E007,Abuse Local VCS Access from Endpoint,endpoint,Discovery and Lateral Movement,implemented,PSB-SOURCE-004-SCL-003; PSB-SOURCE-004-SCL-005; PSB-SOURCE-004-SCL-007; PSB-SOURCE-004-SCL-010,,endpoint-security,,"Resource-restricted, short-lived, phishing-resistant, and revocable source credentials directly constrain abuse of endpoint-held VCS access.","Repository fixtures do not prove live endpoint fleet enrollment, telemetry health, phishing resistance, network enforcement, or incident recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-E008,Abuse Local CI/CD Access from Endpoint,endpoint,Discovery and Lateral Movement,gap,PSB-CICD-008-CPC-001; PSB-CICD-008-CPC-002,,endpoint-security,"Inventory and govern developer-held CI/CD sessions and API credentials, including phishing resistance, scope, lifetime, revocation, and endpoint binding.","Privileged control-plane actor and session checks cover reviewed changes, not all local CI/CD credentials available after endpoint compromise.","Repository fixtures do not prove live endpoint fleet enrollment, telemetry health, phishing resistance, network enforcement, or incident recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-E009,Abuse Local AI Tools,endpoint,Discovery and Lateral Movement,implemented,PSB-AI-004-AAR-003; PSB-AI-004-AAR-004; PSB-AI-004-AAR-012; PSB-AI-004-AAR-013,,endpoint-security,,"Credential isolation, default-deny networking, exact extension identity, and bounded tool effects directly constrain abuse of local AI development tools.","Repository fixtures do not prove live endpoint fleet enrollment, telemetry health, phishing resistance, network enforcement, or incident recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-E010,Endpoint Infrastructure Destruction,endpoint,Post-Compromise,gap,PSB-SOURCE-001-END-010,,endpoint-security,"Add immutable endpoint configuration backups, destructive-action detection, rebuild objectives, and tested fleet recovery evidence.","Encrypted backups are supporting evidence, but their recoverability and resistance to attacker-triggered endpoint destruction are not verified.","Repository fixtures do not prove live endpoint fleet enrollment, telemetry health, phishing resistance, network enforcement, or incident recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-E011,Unicode Stealth Code Injection,endpoint,Initial Access,implemented,PSB-CODE-005-UNI-001; PSB-CODE-005-UNI-002; PSB-CODE-005-UNI-003; PSB-CODE-005-UNI-004; PSB-CODE-005-UNI-005; PSB-CODE-005-UNI-006,,endpoint-security,,"The Python source verifier directly rejects directional and invisible formatting controls plus non-ASCII and normalization-unstable identifiers, while malformed or incomplete analysis fails closed.","Repository fixtures do not prove live endpoint fleet enrollment, telemetry health, phishing resistance, network enforcement, or incident recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-E012,SOCKS Proxy Deployment on Endpoint,endpoint,Post-Compromise,gap,PSB-SOURCE-001-DEH-008; PSB-SOURCE-001-END-012,,endpoint-security,"Detect local proxy listeners, tunneled egress, destination changes, and long-lived relay traffic, then verify containment and evidence retention.",Endpoint allowlisting and EDR are supporting controls but do not provide an exact SOCKS proxy detection assertion.,"Repository fixtures do not prove live endpoint fleet enrollment, telemetry health, phishing resistance, network enforcement, or incident recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-E013,Hidden VNC (HVNC) Deployment,endpoint,Post-Compromise,gap,PSB-SOURCE-001-END-007; PSB-SOURCE-001-END-012,,endpoint-security,"Detect hidden desktop services, injected UI processes, unauthorized screen capture, and remote-control channels with tested response.",Disabled debug services and EDR reduce exposure but do not specifically verify HVNC prevention or detection.,"Repository fixtures do not prove live endpoint fleet enrollment, telemetry health, phishing resistance, network enforcement, or incident recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-E014,WebRTC P2P Control Channel Establishment,endpoint,Post-Compromise,gap,PSB-SOURCE-001-DEH-008; PSB-SOURCE-001-END-012,,endpoint-security,"Classify and detect unauthorized WebRTC signaling, STUN/TURN access, and peer channels while preserving approved collaboration traffic.",Approved destinations and EDR provide partial support but no WebRTC C2-specific evidence.,"Repository fixtures do not prove live endpoint fleet enrollment, telemetry health, phishing resistance, network enforcement, or incident recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-E015,Extension Auto-Update Exploitation,endpoint,Initial Access,gap,PSB-SOURCE-001-END-011; PSB-AI-002-AID-001; PSB-AI-002-AID-006,,endpoint-security,"Pin IDE and browser extension update identities, verify publisher signatures and update provenance, and revoke compromised versions fleet-wide.","Approved applications and immutable AI extensions are relevant, but the general extension auto-update channel is not verified.","Repository fixtures do not prove live endpoint fleet enrollment, telemetry health, phishing resistance, network enforcement, or incident recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-E016,Blockchain-Based C2 Infrastructure,endpoint,Post-Compromise,gap,PSB-SOURCE-001-DEH-008; PSB-SOURCE-001-END-012,,endpoint-security,"Detect unauthorized blockchain clients, RPC endpoints, domain resolution, and embedded payload retrieval used as a control channel.",Allowlisted egress and EDR are supporting layers without blockchain-based C2-specific assertions.,"Repository fixtures do not prove live endpoint fleet enrollment, telemetry health, phishing resistance, network enforcement, or incident recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
T-E017,Legitimate Service Abuse for C2,endpoint,Post-Compromise,gap,PSB-SOURCE-001-DEH-008; PSB-SOURCE-001-END-012,,endpoint-security,Add identity- and process-aware egress policy plus behavioral detection for approved SaaS services used by unauthorized binaries as C2.,A destination allowlist alone cannot distinguish legitimate use from C2 over an approved service.,"Repository fixtures do not prove live endpoint fleet enrollment, telemetry health, phishing resistance, network enforcement, or incident recovery.",1.0.0@d1d1536,https://github.com/wiz-sec-public/SITF/blob/d1d1536da5cbc7107fb90ab3f5a4b1f62b21ea59/techniques.json,"This repository profile records direct or partial reference-control coverage against a pinned threat taxonomy. It is not a compliance claim, organization adoption result, or proof that an attack technique is completely mitigated."
