Control ID,Domain,Control Status,Reference Evidence Level,Atomic Checks,Automated Checks,Hybrid Checks,Manual Checks,External Evidence Checks,Reviewed Mapping Checks,Provisional Mapping Checks,Unmapped Checks,Framework Relationships,Assessment Adapter,Catalog Claim Boundary,Organization Adoption,Evidence Freshness,Active Exceptions,Expiring Exceptions,Expired or Invalid Exceptions,Governance Result
PSB-AI-001,ai-development-security,prototype,E3,7,7,0,0,0,2,0,5,3,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-AI-002,ai-development-security,prototype,E3,7,7,0,0,0,7,0,0,5,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-AI-003,ai-development-security,prototype,E3,10,10,0,0,0,8,0,2,8,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-AI-004,ai-development-security,prototype,E3,26,26,0,0,0,26,0,0,15,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-AI-005,ai-development-security,prototype,E3,9,9,0,0,0,7,0,2,6,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-AI-006,ai-development-security,prototype,E3,10,10,0,0,0,8,0,2,10,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-AI-007,ai-development-security,prototype,E3,11,11,0,0,0,10,0,1,6,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-AI-008,ai-development-security,prototype,E3,11,11,0,0,0,10,0,1,6,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-AI-009,ai-development-security,prototype,E3,11,11,0,0,0,11,0,0,9,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-AI-010,ai-development-security,prototype,E3,11,11,0,0,0,10,0,1,8,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-AI-011,ai-development-security,prototype,E3,10,9,1,0,0,8,0,2,12,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-BUILD-001,build-security,prototype,E3,6,5,1,0,0,6,0,0,3,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
PSB-BUILD-002,build-security,prototype,E3,5,3,2,0,0,4,0,1,3,not-provided,REFERENCE_IMPLEMENTATION_ONLY,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED
