カテゴリ,対策項目,具体的な対策内容・ツール,ガードレール機能 (抑止/検知),実装フェーズ/優先度,期待されるセキュリティ効果 (Inferred),出典
端末内シークレットの保護,静的トークンの排除と短寿命化,OIDC、短寿命セッショントークンの利用。GitHub App、Fine-grained PATへの移行。,抑止,フェーズ2：共通ガードレールの提供,静的な認証情報の漏洩による長期的な不正アクセスのリスクを最小化する。,1
端末内シークレットの保護,安全なシークレットストアの活用,OS標準キーチェーン（macOS Keychain / Windows Credential Manager）、1Password CLI等による動的注入。,抑止,フェーズ2：共通ガードレールの提供,環境変数ファイルや平文ファイルへの機密情報放置を防止し、端末紛失時のリスクを低減する。,1
端末内シークレットの保護,鍵のハードウェア紐付け,"SSH鍵等のセキュリティチップ（Secure Enclave, FIDO2, Passkey）への保存、パスフレーズ保護の必須化。",抑止,フェーズ2：共通ガードレールの提供,物理的な端末外への秘密鍵の持ち出しやコピーを不可能にする。,1
シークレット漏洩リスクの検知,プッシュ前自動スキャン,pre-commit フレームワーク、gitleaks、regexベースのプレースキャン、共通Git Hooksテンプレート。,抑止,フェーズ2：共通ガードレールの提供,不注意による機密情報のコミットを開発者のローカル環境で未然に防ぐ。,1
シークレット漏洩リスクの検知,CI/CD多層防御,Secret Scanning、Trivy、Semgrep、CodeQL、pre-commit/action。,検知/抑止,フェーズ2：共通ガードレールの提供,ローカルでのチェックをバイパスした不正なコードがリポジトリにマージされるのを最終防衛ラインで阻止する。,1
サプライチェーン攻撃対策,パッケージインストールの隔離,VS Code Dev Containers、Cloud Workstations、eBPF等の挙動観測ツールを備えたサンドボックス。,抑止/検知,フェーズ2：共通ガードレールの提供,悪意あるスクリプトによるホストOS上の認証情報窃取を防ぎ、開発環境をクリーンに保つ。,1
サプライチェーン攻撃対策,依存関係の更新制御,Dependabot、Renovate、minimumReleaseAge（経過期間）の設定。,抑止,フェーズ2：共通ガードレールの提供,公開直後の不正なパッケージの自動取り込みを回避し、既知の脆弱性を迅速に修正する。,1
境界統制・アイデンティティ,通信およびサイトアクセス統制,SWG（セキュアウェブゲートウェイ）、CASB。,抑止,フェーズ2：共通ガードレールの提供,認可外のクラウドストレージや個人用リポジトリへのデータ持ち出しをシステム的に防ぐ。,1
境界統制・アイデンティティ,認証の強化と統合,IdP/SSO統合 (Okta等)、FIDO2/PasskeyによるMFA。,抑止,フェーズ2：共通ガードレールの提供,フィッシング攻撃への耐性を高め、退職者のアカウントを即時無効化する。,1
個人情報（PII）保護,データファイル混入の検知,"check-added-large-files、check-json、拡張子ベース（.csv, .xlsx, .sql）のブロック設定。",検知/抑止,フェーズ2：共通ガードレールの提供,誤ってステージングされた大量の顧客データファイルなどを、誤検知を抑えつつ確実に捕捉する。,1
